name,network,contract,start_block,mapping_name,official_website
Litentry,mainnet,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,11718562,mapping,https://litentry.com/
Automata,mainnet,0xa2120b9e674d3fc3875f415a7df52e382f141225,12538085,mapping,https://www.ata.network/
BNB,mainnet,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,3978343,mapping,https://www.binance.com/ 
LINK,mainnet,0x514910771af9ca656af840dff83e8264ecf986ca,4281611,mapping,https://chain.link/ 
WBTC,mainnet,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,6766284,mapping,https://www.wbtc.network/
TRON,mainnet,0xe1be5d3f34e89de342ee97e6e90d405884da6c67,12348841,mapping,https://tron.network/ 
BitTorrent,mainnet,0xe83cccfabd4ed148903bf36d4283ee7c8b3494d1,12295499,mapping,https://www.bittorrent.com/
GRT,mainnet,0xc944e90c64b2c07662a292be6244bdf05cda44a7,11446769,mapping,https://thegraph.com/
CHZ,mainnet,0x3506424f91fd33084466f402d5d97f05f8e3b4af,6585593,mapping,https://www.chiliz.com/ 
YFI,mainnet,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,10475744,mapping,https://yearn.finance/
Synthetix,mainnet,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,8314597,mapping,https://www.synthetix.io/
Rarible,mainnet,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,10457021,mapping,https://rarible.com/
Dusk,mainnet,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,6867115,mapping,https://www.dusk.network/
Dock,mainnet,0xe5dada80aa6477e85d09747f2842f7993d0df71c,5127660,mapping,https://dock.io/ 
STAKE,mainnet,0x0Ae055097C6d159879521C384F1D2123D1f195e6,9877421,mapping,https://xdaichain.com/
Mask,mainnet,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,11886238,mapping,https://mask.io/ 
MXC,mainnet,0x5ca381bbfb58f0092df149bd3d243b08b9a8386e,6111735,mapping,https://www.mxc.org/ 
Ocean,mainnet,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,10945544,mapping,https://oceanprotocol.com/ 
Balancer,mainnet,0xba100000625a3754423978a60c9317c58a424e3d,10299683,mapping,https://balancer.finance/ 
Loopring,mainnet,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,7544036,mapping,https://loopring.org/ 
Matic,mainnet,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,7605604,mapping,https://matic.network/ 